City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hilo,US,80.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
8,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
9,Rikitea,PF,77.72,clear sky,-23.1203,-134.9692,People ThankYou
12,Omboue,GA,76.21,light rain,-1.5746,9.2618,Hotel Olako
19,Meulaboh,ID,75.29,light rain,4.1363,96.1285,Kost Pria
21,Bubaque,GW,77.27,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
29,Pontes E Lacerda,BR,88.7,clear sky,-15.2261,-59.3353,Hotel Bressan
32,Mabaruma,GY,87.01,broken clouds,8.2,-59.7833,Monty Brooms Guest House
35,Atuona,PF,79.86,scattered clouds,-9.8,-139.0333,Villa Enata
37,Bahia Honda,CU,82.69,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
42,Kulhudhuffushi,MV,85.1,overcast clouds,6.6221,73.07,Haajy Guest House 1
46,Chuy,UY,75.79,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
47,Hambantota,LK,80.4,overcast clouds,6.1241,81.1185,Bungalow 63
49,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
59,Dingle,PH,76.55,clear sky,10.9995,122.6711,SEGAYA PROPERTY
62,Kondagaon,IN,82.99,broken clouds,19.6,81.6667,AYAN MOTER
69,The Valley,AI,82.81,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
70,Kavaratti,IN,85.35,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
73,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
78,Yenagoa,NG,77.85,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
80,Bondoukou,CI,87.73,overcast clouds,8.0333,-2.8,Prestige Hotel
81,Narasannapeta,IN,81.03,few clouds,18.4167,84.05,AVK events and catering
82,Savannah Bight,HN,80.74,clear sky,16.45,-85.85,Villa on Dunbar Rock
83,Souillac,MU,79.18,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
100,Angoche,MZ,78.93,few clouds,-16.2325,39.9086,Guest House HESADA
102,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
105,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
106,Manggar,ID,79.02,overcast clouds,-2.8833,108.2667,Guest Hotel
