,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,55.78,89,0,9.82,clear sky
1,Lagoa,PT,39.05,-27.9833,59.5,69,51,12.35,broken clouds
2,Port Hardy,CA,50.6996,-127.4199,46.58,71,75,9.22,broken clouds
3,Whitehorse,CA,60.7161,-135.0538,26.1,49,75,0.0,broken clouds
4,Jamestown,US,42.097,-79.2353,35.24,74,100,23.02,snow
5,Zhigansk,RU,66.7697,123.3711,16.83,95,99,9.28,overcast clouds
6,Hilo,US,19.7297,-155.09,80.28,87,40,6.91,scattered clouds
7,Thompson,CA,55.7435,-97.8558,26.76,63,75,4.61,broken clouds
8,Vaini,TO,-21.2,-175.2,78.96,83,40,6.91,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,77.72,75,6,18.79,clear sky
10,Katsuura,JP,35.1333,140.3,58.98,67,100,15.03,overcast clouds
11,Ribeira Grande,PT,38.5167,-28.7,64.8,63,75,12.66,broken clouds
12,Omboue,GA,-1.5746,9.2618,76.21,93,100,7.16,light rain
13,Norman Wells,CA,65.282,-126.8329,23.04,36,0,13.8,clear sky
14,Albany,US,42.6001,-73.9662,40.95,75,96,5.99,overcast clouds
15,Texarkana,US,33.4251,-94.0477,65.84,41,0,11.5,clear sky
16,Carnarvon,AU,-24.8667,113.6333,68.07,83,30,8.05,scattered clouds
17,New Norfolk,AU,-42.7826,147.0587,56.88,73,81,2.66,broken clouds
18,Punta Arenas,CL,-53.15,-70.9167,51.91,50,0,11.5,light rain
19,Meulaboh,ID,4.1363,96.1285,75.29,94,100,3.62,light rain
20,Novyy Urengoy,RU,66.0833,76.6333,14.77,90,100,7.2,overcast clouds
21,Bubaque,GW,11.2833,-15.8333,77.27,72,15,12.91,few clouds
22,Liverpool,GB,53.4106,-2.9779,56.64,65,0,11.5,clear sky
23,Mar Del Plata,AR,-38.0023,-57.5575,69.82,95,40,11.99,scattered clouds
24,Lebu,CL,-37.6167,-73.65,54.54,91,100,3.04,overcast clouds
25,Hermanus,ZA,-34.4187,19.2345,68.81,67,0,10.47,clear sky
26,Barrow,US,71.2906,-156.7887,-0.38,78,0,9.22,clear sky
27,Parabel,RU,58.6978,81.4825,33.13,88,94,8.63,overcast clouds
28,Yulara,AU,-25.2406,130.9889,58.84,36,99,6.91,overcast clouds
29,Pontes E Lacerda,BR,-15.2261,-59.3353,88.7,40,8,1.05,clear sky
30,Pochutla,MX,15.7432,-96.4661,91.81,37,4,9.28,clear sky
31,Mataura,NZ,-46.1927,168.8643,50.49,96,96,3.2,overcast clouds
32,Mabaruma,GY,8.2,-59.7833,87.01,52,59,8.14,broken clouds
