City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hervey Bay,AU,2022-04-18 19:11:07,-25.2986,152.8535,70.02,88,61,5.99
1,Busselton,AU,2022-04-18 19:11:08,-33.65,115.3333,61.48,87,94,5.08
2,Saldanha,ZA,2022-04-18 19:11:08,-33.0117,17.9442,61.38,78,0,9.82
3,Klaksvik,FO,2022-04-18 19:11:09,62.2266,-6.589,45.52,86,21,24.05
4,Kavaratti,IN,2022-04-18 19:11:09,10.5669,72.642,84.22,74,97,6.6
5,Hermanus,ZA,2022-04-18 19:08:06,-34.4187,19.2345,60.8,88,4,10.18
6,Sakakah,SA,2022-04-18 19:11:10,29.9697,40.2064,78.48,11,64,10.58
7,Mandera,KE,2022-04-18 19:11:11,3.9366,41.867,83.52,63,14,8.61
8,Ushuaia,AR,2022-04-18 19:11:11,-54.8,-68.3,46.02,81,75,5.75
9,Banes,CU,2022-04-18 19:06:31,20.9625,-75.7186,79.38,69,85,6.98
10,Provideniya,RU,2022-04-18 19:11:13,64.3833,-173.3,30.76,93,100,10.51
11,Lavrentiya,RU,2022-04-18 19:11:14,65.5833,-171.0,28.56,91,100,8.41
12,Codrington,AU,2022-04-18 19:11:14,-38.2667,141.9667,55.2,82,100,7.67
13,Saint George,US,2022-04-18 19:11:15,37.1041,-113.5841,81.79,11,0,1.99
14,Punta Arenas,CL,2022-04-18 19:09:25,-53.15,-70.9167,50.11,66,75,14.97
15,Soanierana Ivongo,MG,2022-04-18 19:11:16,-16.9167,49.5833,74.7,89,47,6.69
16,Tiksi,RU,2022-04-18 19:11:16,71.6872,128.8694,1.31,100,100,3.62
17,Lompoc,US,2022-04-18 19:11:17,34.6391,-120.4579,66.85,63,0,25.99
18,New Norfolk,AU,2022-04-18 19:11:17,-42.7826,147.0587,51.91,69,100,1.77
19,El Higo,MX,2022-04-18 19:11:18,21.7667,-98.4667,99.0,30,3,8.86
20,Butaritari,KI,2022-04-18 19:11:19,3.0707,172.7902,81.43,75,26,12.37
21,Qaanaaq,GL,2022-04-18 19:11:23,77.484,-69.3632,-7.92,80,9,1.68
22,Bengkulu,ID,2022-04-18 19:11:24,-3.8004,102.2655,75.04,89,100,4.47
23,Cidreira,BR,2022-04-18 19:11:24,-30.1811,-50.2056,70.75,67,82,12.26
24,Tuatapere,NZ,2022-04-18 19:11:25,-46.1333,167.6833,53.62,86,100,5.86
25,Bredasdorp,ZA,2022-04-18 19:11:26,-34.5322,20.0403,59.88,91,5,6.98
26,Krasnoselkup,RU,2022-04-18 19:11:26,65.7,82.4667,27.97,95,100,22.62
27,Victoria,HK,2022-04-18 19:11:27,22.2855,114.1577,70.25,84,100,8.01
28,Ostrovnoy,RU,2022-04-18 19:11:27,68.0531,39.5131,36.9,100,100,14.65
29,Tezu,IN,2022-04-18 19:11:28,27.9167,96.1667,65.82,76,68,4.9
30,Mataura,NZ,2022-04-18 19:11:28,-46.1927,168.8643,46.47,89,100,3.29
31,Atuona,PF,2022-04-18 19:11:29,-9.8,-139.0333,80.04,70,95,17.13
32,Kuchl,AT,2022-04-18 19:11:29,47.6265,13.1448,47.79,80,100,1.36
33,Pacifica,US,2022-04-18 19:11:30,37.6138,-122.4869,68.65,62,75,6.91
34,Rikitea,PF,2022-04-18 19:11:30,-23.1203,-134.9692,78.39,66,6,14.54
35,Avarua,CK,2022-04-18 19:11:31,-21.2078,-159.775,77.05,88,100,2.3
36,Cape Town,ZA,2022-04-18 19:09:30,-33.9258,18.4232,61.92,84,4,8.01
37,Zholymbet,KZ,2022-04-18 19:11:31,51.7433,71.7122,42.55,84,88,7.27
38,Hobart,AU,2022-04-18 19:10:48,-42.8794,147.3294,52.27,84,100,5.75
39,Emerald,AU,2022-04-18 19:11:32,-23.5333,148.1667,62.35,77,0,5.99
40,Albany,US,2022-04-18 19:11:33,42.6001,-73.9662,59.34,23,100,8.01
41,Puerto Ayora,EC,2022-04-18 19:11:33,-0.7393,-90.3518,76.96,82,83,8.37
42,Dikson,RU,2022-04-18 19:11:34,73.5069,80.5464,3.52,95,100,14.45
43,Ribeira Grande,PT,2022-04-18 19:08:15,38.5167,-28.7,61.2,67,75,14.97
44,Mahebourg,MU,2022-04-18 19:11:34,-20.4081,57.7,79.25,85,39,11.92
45,Tsiroanomandidy,MG,2022-04-18 19:11:35,-18.7667,46.0333,69.62,79,9,1.81
46,Quixada,BR,2022-04-18 19:11:36,-4.9714,-39.0153,77.07,90,100,6.02
